Ranking,University,Location,Year
501-550,Université Claude Bernard Lyon 1,"Villeurbanne, France",2017
501-550,Ateneo de Manila University,"Quezon City, Philippines",2017
501-550,UNESP,"SÃ£o Paulo, Brazil",2017
501-550,Abo Akademi University,"Turku, Finland",2017
501-550,Amirkabir University of Technology,"Tehran, Iran, Islamic Republic of",2017
501-550,Jeonbuk National University,"Jeonju, South Korea",2017
501-550,Czech Technical University in Prague,"Prague, Czech Republic",2017
501-550,Drexel University,"Philadelphia, United States",2017
501-550,Instituto Tecnológico de Buenos Aires (ITBA),"Buenos Aires, Argentina",2017
501-550,Abai Kazakh National Pedagogical University,"Almaty, Kazakhstan",2017
501-550,Kazan (Volga region) Federal University,"Kazan, Russia",2017
501-550,King Khalid University,"Abha, Saudi Arabia",2017
501-550,"Kingston University, London","Kingston upon Thames, United Kingdom",2017
501-550,Martin-Luther-Universität Halle-Wittenberg,"Halle, Germany",2017
501-550,Michigan Technological University,"Houghton, United States",2017
501-550,Missouri University of Science and Technology,"Rolla, United States",2017
501-550,Murdoch University,"Murdoch, Australia",2017
501-550,Nagasaki University,"Nagasaki City, Japan",2017
501-550,National Chung Hsing University,"Taichung City, Taiwan",2017
501-550,National University of Sciences And Technology (NUST) Islamabad,"Islamabad, Pakistan",2017
501-550,Okayama University,"Okayama City, Japan",2017
501-550,Pontifícia Universidade Católica de São Paulo,"São Paulo, Brazil",2017
501-550,Sejong University,"Seoul, South Korea",2017
501-550,Shandong University,"Jinan, China (Mainland)",2017
501-550,Southeast University,"Nanjing, China (Mainland)",2017
501-550,Tulane University,"New Orleans, United States",2017
501-550,Umm Al-Qura University,"Makkah, Saudi Arabia",2017
501-550,Universidad de San Andrés - UdeSA,"Buenos Aires, Argentina",2017
501-550,Universidade Federal de São Paulo,"São Paulo, Brazil",2017
501-550,University of Bayreuth,"Bayreuth, Germany",2017
501-550,Universität des Saarlandes,"Saarbrücken, Germany",2017
501-550,Universität Regensburg,"Regensburg, Germany",2017
501-550,University of Guelph,"Guelph, Canada",2017
501-550,University of Kentucky,"Lexington, United States",2017
501-550,University of Limerick,"Limerick, Ireland",2017
501-550,University of Macau,Macau SAR,2017
501-550,University of Manitoba,"Winnipeg, Canada",2017
501-550,University of Mons,"Mons, Belgium",2017
501-550,University of Szeged,"Szeged, Hungary",2017
501-550,University of Tampere,"Tampere, Finland",2017
551-600,Universidad Nacional de La Plata (UNLP),"La Plata, Argentina",2017
551-600,Chiang Mai University,"Chiang Mai, Thailand",2017
551-600,Universidade Federal de Minas Gerais,"Belo Horizonte, Brazil",2017
551-600,Cairo University,"Giza, Egypt",2017
551-600,Universitat de Valencia,"València, Spain",2017
551-600,University of Pretoria,"Pretoria, South Africa",2017
551-600,University of Turin,"Turin, Italy",2017
551-600,Universidade de Santiago de Compostela,"Santiago de Compostela, Spain",2017
551-600,American University in Dubai,"Dubai, United Arab Emirates",2017
551-600,Carleton University,"Ottawa, Canada",2017
551-600,Charles Darwin University,"Casuarina, Australia",2017
551-600,Chiba University,"Chiba City, Japan",2017
551-600,William & Mary,"Williamsburg, United States",2017
551-600,East China Normal University,"Shanghai, China (Mainland)",2017
551-600,Far Eastern Federal University,"Vladivostok, Russia",2017
551-600,Flinders University,"Adelaide, Australia",2017
551-600,Howard University,"Washington D.C., United States",2017
551-600,Inha University,"Incheon, South Korea",2017
551-600,Johannes Kepler University Linz,"Linz, Austria",2017
551-600,Kagoshima University,"Kagoshima City, Japan",2017
551-600,Kanazawa University,"Kanazawa, Japan",2017
551-600,Keele University,"Keele, United Kingdom",2017
551-600,Kumamoto University,"Kumamoto City, Japan",2017
551-600,Lanzhou University,"Lanzhou, China (Mainland)",2017
551-600,National Research Saratov State University,"Saratov, Russia",2017
551-600,National Taipei University of Technology,"Taipei City, Taiwan",2017
551-600,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""","Kyiv, Ukraine",2017
551-600,Philipps-Universität Marburg,"Marburg, Germany",2017
551-600,Universidad Politécnica de Madrid (UPM),"Madrid, Spain",2017
551-600,Rhodes University,"Grahamstown, South Africa",2017
551-600,Sichuan University,"Chengdu, China (Mainland)",2017
551-600,South China University of Technology,"Guangzhou, China (Mainland)",2017
551-600,Southern Federal University,"Rostov-on-Don, Russia",2017
551-600,Syracuse University,"Syracuse, United States",2017
551-600,TU Dortmund University,"Dortmund, Germany",2017
551-600,Tokyo University of Agriculture and Technology,"Tokyo, Japan",2017
551-600,Università degli Studi di Pavia,"Pavia, Italy",2017
551-600,University of Bradford,"Bradford, United Kingdom",2017
551-600,University of Canberra,"Bruce, Australia",2017
551-600,University of Cincinnati,"Cincinnati, United States",2017
551-600,University of Hull,"Hull, United Kingdom",2017
551-600,University of Jordan,"Amman, Jordan",2017
551-600,University of Massachusetts Boston,"Boston, United States",2017
551-600,"University of Missouri, Columbia","Columbia, United States",2017
551-600,University of Oregon,"Eugene, United States",2017
551-600,University of Science and Technology Beijing,"Beijing, China (Mainland)",2017
551-600,University of South Carolina,"Columbia, United States",2017
551-600,University of Tehran,"Tehran, Iran, Islamic Republic of",2017
551-600,University of Ulsan,"Ulsan, South Korea",2017
551-600,University of Vermont,"Burlington, United States",2017
551-600,Western Sydney University,"Milperra, Australia",2017
601-650,Universidad de Antioquia,"Medellin, Colombia",2017
601-650,Universidad Nacional de Córdoba - UNC,"Córdoba, Argentina",2017
601-650,Universidad de Sevilla,"Seville, Spain",2017
601-650,Universidad Católica Andres Bello,"Guayana City, Venezuela",2017
601-650,Pontificia Universidad Católica de Valparaíso,"Valparaíso, Chile",2017
601-650,Universidade de Brasília,"Brasília, Brazil",2017
601-650,Universidad de Concepción,"Concepción, Chile",2017
601-650,Thammasat University,"Bangkok, Thailand",2017
601-650,Bielefeld University,"Bielefeld, Germany",2017
601-650,Ajou University,"Suwon, South Korea",2017
601-650,Bar-Ilan University,"Ramat Gan, Israel",2017
601-650,Central Queensland University (CQUniversity Australia),"Norman Gardens, Australia",2017
601-650,Chonnam National University,"Gwangju, South Korea",2017
601-650,Clarkson University,"Potsdam, United States",2017
601-650,Eötvös Loránd University,"Budapest, Hungary",2017
601-650,Hallym University,"Chuncheon, South Korea",2017
601-650,Instituto Tecnológico Autónomo de México (ITAM),"Mexico City, Mexico",2017
601-650,International Islamic University Malaysia (IIUM),"Kuala Lumpur, Malaysia",2017
601-650,"Lingnan University, Hong Kong","Hong Kong, Hong Kong SAR",2017
601-650,Auezov South Kazakhstan University (SKU),"Shymkent, Kazakhstan",2017
601-650,Masaryk University,"Brno, Czech Republic",2017
601-650,Middlesex University,"London, United Kingdom",2017
601-650,The National University of Science and Technology MISIS,"Moscow, Russia",2017
601-650,The New School,"New York, United States",2017
601-650,RUDN University,"Moscow, Russia",2017
601-650,Tallinn University of Technology (TalTech),"Tallinn, Estonia",2017
601-650,Universidad de Alcalá,"Alcalá de Henares, Spain",2017
601-650,Universidad de Montevideo (UM),"Montevideo, Uruguay",2017
601-650,Universidad Torcuato Di Tella,"Buenos Aires, Argentina",2017
601-650,Universität Duisburg-Essen,"Duisburg, Germany",2017
601-650,University Duesseldorf,"Düsseldorf, Germany",2017
601-650,Université de Rennes 1,"Rennes, France",2017
601-650,Université de Sherbrooke,"Sherbrooke, Canada",2017
601-650,Université Nice Sophia Antipolis,"Nice, France",2017
601-650,University Paris 2 Panthéon-Assas,France,2017
601-650,Universiti Teknologi PETRONAS (UTP),"Seri Iskandar, Malaysia",2017
601-650,The University of Alabama,"Tuscaloosa, United States",2017
601-650,University of Baghdad,"Baghdad, Iraq",2017
601-650,University of Houston,"Houston, United States",2017
601-650,University of Johannesburg,"Johannesburg, South Africa",2017
601-650,University of Ljubljana,"Ljubljana, Slovenia",2017
601-650,University of Mississippi,"Oxford, United States",2017
601-650,University of New Hampshire,"Durham, United States",2017
601-650,University of Portsmouth,"Portsmouth, United Kingdom",2017
601-650,University of Seoul,"Seoul, South Korea",2017
601-650,Ulster University,"Coleraine, United Kingdom",2017
601-650,Ural Federal University - UrFU,"Ekaterinburg, Russia",2017
601-650,Warsaw University of Technology,"Warsaw, Poland",2017
601-650,Worcester Polytechnic Institute,"Worcester, United States",2017
651-700,Al Imam Mohammad Ibn Saud Islamic University,"Riyadh, Saudi Arabia",2017
651-700,Beijing University of Technology,"Beijing, China (Mainland)",2017
651-700,Brigham Young University,"Provo, United States",2017
651-700,Brno University of Technology,"Brno, Czech Republic",2017
651-700,Comenius University in Bratislava,"Bratislava, Slovakia",2017
651-700,Coventry University,"Coventry, United Kingdom",2017
651-700,Technological University Dublin,"Dublin, Ireland",2017
651-700,George Mason University,"Fairfax, United States",2017
651-700,Gifu University,"Gifu City, Japan",2017
651-700,Istanbul Technical University,"Maslak-Istanbul, Turkey",2017
651-700,Jordan University of Science & Technology,"Irbid, Jordan",2017
651-700,Justus-Liebig-University Giessen,"Giessen, Germany",2017
651-700,Kazakh-British Technical University,"Almaty, Kazakhstan",2017
651-700,Kyungpook National University,"Daegu, South Korea",2017
651-700,Lebanese American University,"Byblos, Lebanon",2017
651-700,London Metropolitan University,"London, United Kingdom",2017
651-700,Louisiana State University,"Baton Rouge, United States",2017
651-700,Maynooth University,"Maynooth, Ireland",2017
651-700,Memorial University of Newfoundland,"St. John's, Canada",2017
651-700,National and Kapodistrian University of Athens,"Athens, Greece",2017
651-700,Osaka City University,"Osaka City, Japan",2017
651-700,Osaka Prefecture University,"Osaka City, Japan",2017
651-700,Palacký University Olomouc,Czech Republic,2017
651-700,Rutgers University–Newark,"Newark, United States",2017
651-700,"Sofia University ""St. Kliment Ohridski""","Sofia, Bulgaria",2017
651-700,Stevens Institute of Technology,"Hoboken, United States",2017
651-700,Temple University,"Philadelphia, United States",2017
651-700,Universidad Adolfo Ibáñez,"Santiago, Chile",2017
651-700,Universidad Anáhuac México,"Huixquilucan, Mexico",2017
651-700,Universidad Central de Venezuela,"Caracas, Venezuela",2017
651-700,Universidad de La Sabana,"Bogotá, Colombia",2017
651-700,University of Salamanca,"Salamanca, Spain",2017
651-700,Universidad Iberoamericana IBERO,"Mexico City, Mexico",2017
651-700,Universidade Federal de São Carlos (UFSCar),"São Paulo, Brazil",2017
651-700,University of Modena and Reggio Emilia,"Modena, Italy",2017
651-700,Universität Rostock,"Rostock, Germany",2017
651-700,University at Albany SUNY,"Albany, United States",2017
651-700,University of Calcutta,"Kolkata, India",2017
651-700,University of Crete,"Heraklion, Greece",2017
651-700,University of Debrecen,"Debrecen, Hungary",2017
651-700,University of Denver,"Denver, United States",2017
651-700,University of Haifa,"Haifa, Israel",2017
651-700,University of Kwazulu-Natal,"Pinetown, South Africa",2017
651-700,University of Latvia,"Riga, Latvia",2017
651-700,University of Milano-Bicocca,"Milan, Italy",2017
651-700,University of Patras,"Patras, Greece",2017
651-700,University of Plymouth,"Plymouth, United Kingdom",2017
651-700,University of Sharjah,"Sharjah, United Arab Emirates",2017
651-700,University of Windsor,"Windsor, Canada",2017
651-700,University of Zagreb,"Zagreb, Croatia",2017
651-700,Victoria University,"Melbourne, Australia",2017
651-700,Virginia Commonwealth University,"Richmond, United States",2017
651-700,Yeungnam University,"Gyeongsan, South Korea",2017
701+,Kasetsart University,"Bangkok, Thailand",2017
701+,Universidad Nacional de Rosario (UNR),"Rosario, Argentina",2017
701+,Abu Dhabi University,"Abu Dhabi, United Arab Emirates",2017
701+,Ain Shams University,"Cairo, Egypt",2017
701+,Airlangga University,"Surabaya, Indonesia",2017
701+,Al-Azhar University,"Cairo, Egypt",2017
701+,Alexandria University,"Alexandria, Egypt",2017
701+,Alexandru Ioan Cuza University,"Iași, Romania",2017
701+,University of Klagenfurt,"Klagenfurt, Austria",2017
701+,Ankara Üniversitesi,"Ankara, Turkey",2017
701+,Aoyama Gakuin University,"Tokyo, Japan",2017
701+,Athens University of Economics and Business,"Athens, Greece",2017
701+,Auburn University,"Auburn, United States",2017
701+,Australian Catholic University,"Melbourne, Australia",2017
701+,Babes-Bolyai University,"Cluj-Napoca, Romania",2017
701+,Baku State University,"Baku, Azerbaijan",2017
701+,Banaras Hindu University,"Varanasi, India",2017
701+,Baylor University,"Waco, United States",2017
701+,Beijing Jiaotong University,"Beijing, China (Mainland)",2017
